2026-01-28 1455,0,0001,0,32104,H2    ,245,38,104,140498,593,V,CO    ,707,40,120,5404,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                
2026-01-28 1459,0,0001,0,32098,H2    ,245,30,108,168552,593,V,CO    ,685,40,120,48400,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1503,0,0001,0,32087,H2    ,245,32,106,150860,593,V,CO    ,672,40,120,47630,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1507,0,0001,0,32076,H2    ,245,46,98,152973,593,V,CO    ,672,40,120,44924,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                
2026-01-28 1511,0,0001,0,32071,H2    ,245,32,104,144925,593,V,CO    ,680,40,120,47630,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1514,0,0001,0,32056,H2    ,245,30,116,166668,593,V,CO    ,697,40,120,25071,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1519,0,0001,0,32048,H2    ,245,30,126,125651,593,V,CO    ,682,40,120,32536,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1523,0,0001,0,32017,H2    ,245,34,104,120968,593,V,CO    ,681,40,120,39679,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1526,0,0001,0,32007,H2    ,246,30,122,143940,593,V,CO    ,678,40,120,43261,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1530,0,0001,0,31996,H2    ,245,30,98,89227,593,V,CO    ,674,40,120,34682,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                 
2026-01-28 1534,0,0001,0,31993,H2    ,245,56,114,101654,593,V,CO    ,689,40,120,14253,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                               
2026-01-28 1538,0,0001,0,31989,H2    ,245,30,106,91394,593,V,CO    ,678,40,120,44281,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                
2026-01-28 1542,0,0001,0,31988,H2    ,245,34,78,66659,593,V,CO    ,682,40,120,14780,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                 
2026-01-28 1546,0,0001,0,31989,H2    ,245,34,86,83726,593,V,CO    ,677,40,120,31606,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                 
2026-01-28 1551,0,0001,0,31980,H2    ,245,30,74,73509,593,V,CO    ,675,40,120,30329,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                 
2026-01-28 1556,0,0001,0,31970,H2    ,246,42,78,61014,593,V,CO    ,702,40,120,10962,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                 
2026-01-28 1600,0,0001,0,31960,H2    ,245,30,70,42481,593,F,CO    ,668,40,120,22675,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                 
2026-01-28 1604,0,0001,0,31952,H2    ,245,30,70,47800,593,F,CO    ,679,40,120,23747,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                 
2026-01-28 1608,0,0001,0,31929,H2    ,245,30,70,47494,593,F,CO    ,665,40,120,18383,114177,F,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,      ,0,0,0,0,0,*,                                                                                 
